Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,56.279999,56.529999,52.599998,52.650002,49.919144,4930100
2018-07-02,52.320000,52.439999,50.900002,52.040001,49.340782,3659500
2018-07-03,52.299999,52.939999,51.889999,52.180000,49.473518,1034300
2018-07-05,52.459999,52.790001,51.480000,52.130001,49.426113,2477900
2018-07-06,52.389999,53.529999,52.119999,52.299999,49.587296,2120600
2018-07-09,52.400002,53.509998,52.400002,53.459999,50.687126,2417000
2018-07-10,53.400002,53.610001,52.700001,53.020000,50.269947,2115800
2018-07-11,52.320000,52.860001,51.619999,52.029999,49.331299,3055900
2018-07-12,52.020000,52.340000,51.259998,51.919998,49.227001,1880200
2018-07-13,51.939999,53.430000,51.939999,52.669998,49.938099,2618800
2018-07-16,52.680000,53.009998,51.990002,52.810001,50.070839,1924200
2018-07-17,52.730000,53.470001,52.419998,52.560001,49.833805,1610700
2018-07-18,52.580002,53.060001,52.200001,52.820000,50.080322,1867000
2018-07-19,52.360001,53.279999,52.189999,53.099998,50.676792,2061800
2018-07-20,52.849998,53.209999,52.230000,52.410000,50.018288,1587800
2018-07-23,52.090000,52.430000,51.450001,51.720001,49.359776,1942400
2018-07-24,51.980000,52.189999,49.509998,49.619999,47.355610,2843000
2018-07-25,49.720001,49.980000,48.119999,49.209999,46.964317,3499000
2018-07-26,49.369999,50.439999,48.320000,48.599998,46.382153,2506500
2018-07-27,48.790001,49.049999,47.200001,47.349998,45.189194,1745300
2018-07-30,47.500000,48.560001,47.500000,48.290001,46.086296,2700100
2018-07-31,48.810001,49.410000,48.139999,48.810001,46.582573,2078400
2018-08-01,48.520000,48.700001,47.279999,47.849998,45.666382,3029000
2018-08-02,47.160000,48.240002,46.759998,47.660000,45.485050,2679900
2018-08-03,47.009998,48.439999,46.840000,47.160000,45.007870,2189200
2018-08-06,47.099998,47.540001,46.599998,46.990002,44.845631,3005900
2018-08-07,47.209999,47.709999,46.810001,47.560001,45.389614,1802300
2018-08-08,47.680000,47.980000,46.950001,47.000000,44.855171,2073900
2018-08-09,47.150002,48.639999,47.029999,47.610001,45.437332,2600000
2018-08-10,47.360001,48.360001,47.240002,47.970001,45.780907,2619300
2018-08-13,48.060001,48.310001,47.320000,48.090000,45.895428,2167700
2018-08-14,47.919998,49.049999,47.669998,48.889999,46.658916,3038000
2018-08-15,48.549999,48.799999,47.270000,48.349998,46.143562,3527300
2018-08-16,49.340000,50.310001,48.709999,49.750000,47.479675,5117400
2018-08-17,49.450001,50.980000,49.160000,50.700001,48.386322,3020400
2018-08-20,51.150002,51.970001,50.590000,51.759998,49.397949,3915500
2018-08-21,52.160000,52.560001,50.970001,52.330002,49.941936,3131900
2018-08-22,52.070000,52.939999,51.799999,52.130001,49.751068,3082300
2018-08-23,52.580002,53.500000,52.320000,53.200001,50.772240,5619100
2018-08-24,48.830002,49.090000,46.009998,48.320000,46.114929,18518000
2018-08-27,48.090000,48.950001,46.689999,48.939999,46.706638,6571400
2018-08-28,49.200001,49.240002,47.959999,48.230000,46.029041,4222200
2018-08-29,48.049999,49.900002,47.480000,49.810001,47.536938,4128900
2018-08-30,49.529999,50.310001,48.650002,48.790001,46.563484,3534900
2018-08-31,48.970001,49.599998,48.639999,49.299999,47.050213,3053800
2018-09-04,48.959999,49.209999,47.930000,48.340000,46.134022,3993400
2018-09-05,48.209999,49.310001,48.060001,49.160000,46.916595,3152900
2018-09-06,49.299999,49.529999,48.060001,48.119999,45.924057,2161800
2018-09-07,47.939999,48.590000,46.680000,46.740002,44.607040,3154800
2018-09-10,48.220001,49.259998,47.980000,49.090000,46.849796,5410400
2018-09-11,49.029999,49.299999,48.070000,48.700001,46.477589,2897300
2018-09-12,48.660000,48.660000,47.630001,48.349998,46.143562,1987900
2018-09-13,47.820000,48.230000,46.410000,47.040001,44.893345,4108400
2018-09-14,47.290001,47.290001,46.070000,46.590000,44.463879,3138300
2018-09-17,46.560001,47.240002,46.430000,46.740002,44.607040,2488400
2018-09-18,46.660000,47.230000,46.580002,46.880001,44.740650,1541900
2018-09-19,46.790001,47.029999,46.330002,46.869999,44.731102,2311700
2018-09-20,47.020000,47.340000,46.660000,47.290001,45.131935,2431400
2018-09-21,47.700001,48.570000,47.360001,48.290001,46.086296,3780900
2018-09-24,48.520000,48.520000,47.450001,47.480000,45.313267,2935600
2018-09-25,47.700001,48.049999,47.200001,47.959999,45.771358,1619800
2018-09-26,47.759998,50.529999,47.650002,50.119999,47.832790,4578200
2018-09-27,50.250000,51.090000,50.070000,50.630001,48.319511,2896800
2018-09-28,50.540001,51.619999,50.430000,50.980000,48.653542,3160800
2018-10-01,51.349998,51.930000,49.990002,50.200001,47.909142,3113100
2018-10-02,50.139999,50.459999,47.380001,47.410000,45.246460,3394000
2018-10-03,47.560001,48.459999,47.320000,48.340000,46.134022,2476200
2018-10-04,48.230000,48.619999,47.110001,47.340000,45.179653,1599800
2018-10-05,47.509998,48.439999,47.330002,47.599998,45.427792,1945100
2018-10-08,47.590000,49.349998,47.439999,48.980000,46.744812,2713600
2018-10-09,49.419998,49.840000,48.759998,49.080002,46.840252,2400600
2018-10-10,49.080002,49.139999,47.810001,47.970001,45.780907,2573900
2018-10-11,47.950001,49.580002,47.660000,48.150002,45.952690,2730100
2018-10-12,48.910000,49.830002,48.750000,49.700001,47.431957,2426600
2018-10-15,49.740002,50.880001,49.730000,50.340000,48.042747,3483100
2018-10-16,50.470001,51.189999,49.750000,50.750000,48.434040,2365500
2018-10-17,50.580002,50.580002,48.439999,49.330002,47.078842,3094900
2018-10-18,48.000000,48.840000,47.490002,48.799999,46.901039,2785400
2018-10-19,48.900002,49.060001,47.110001,47.389999,45.545906,3284900
2018-10-22,47.630001,47.799999,47.040001,47.369999,45.526684,2507200
2018-10-23,46.740002,47.380001,46.009998,47.020000,45.190308,2192800
2018-10-24,47.099998,48.209999,46.360001,46.480000,44.671318,2633800
2018-10-25,46.689999,46.709999,45.500000,45.779999,43.998554,3875600
2018-10-26,45.380001,46.110001,44.470001,45.610001,43.835171,2575300
2018-10-29,45.990002,47.470001,45.740002,46.419998,44.613651,3192900
2018-10-30,46.799999,48.849998,46.439999,48.650002,46.756882,3192400
2018-10-31,49.000000,49.000000,47.090000,47.139999,45.305637,2376100
2018-11-01,47.380001,48.669998,46.869999,47.939999,46.074501,2401000
2018-11-02,48.380001,49.000000,47.980000,48.799999,46.901039,1872600
2018-11-05,48.720001,50.330002,48.540001,50.200001,48.246567,2717400
2018-11-06,49.959999,50.740002,49.869999,50.700001,48.727108,2089900
2018-11-07,50.560001,50.980000,48.910000,50.410000,48.448391,1954600
2018-11-08,50.830002,51.270000,50.139999,50.799999,48.823212,1661900
2018-11-09,50.400002,51.400002,50.139999,50.240002,48.285004,2360000
2018-11-12,50.639999,51.680000,50.360001,50.889999,48.909714,1851200
2018-11-13,51.000000,51.480000,50.090000,51.080002,49.092319,1774900
2018-11-14,51.689999,52.900002,50.810001,51.160000,49.169205,2976600
2018-11-15,50.380001,51.619999,49.360001,51.400002,49.399864,2901800
2018-11-16,50.830002,51.029999,49.250000,50.880001,48.900101,3621000
2018-11-19,50.810001,51.240002,48.130001,48.810001,46.910656,3669200
2018-11-20,46.779999,49.150002,45.279999,46.090000,44.296497,6864500
